Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
FI1610029,1/1/16,0:46,1/1/16,0:46,500 BLK GREEN ST,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,0
II1600005,1/2/16,18:01,1/2/16,18:01,ILLINOIS TERMINAL,WARRANT ARREST,ARREST,0
II1600004,1/2/16,16:44,1/2/16,16:44,NEIL ST S / GREEN ST E,WARRANT ARREST,ARREST,0
II1600007,1/3/16,1:29,1/3/15,1:29,GREEN ST W / LINCOLN,WARRANT ARREST,ARREST,0
FI1630043,1/3/16,2:13,1/3/16,2:13,THIRD/DANIEL,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,0
II1600012,1/4/16,14:06,6/1/15,0:00,2900 blk of RUTHERFORD,THEFT OF MOTOR VEH PARTS & ACCESS,ADMIN. CLOSE,0
II1600010,1/4/16,0:37,1/4/15,0:37,PARK ST W / BUSEY,WARRANT ARREST,ARREST,0
II1600014,1/4/16,23:02,1/4/16,23:02,GREEN ST / CHESTNUT,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,0
II1600015,1/5/16,10:13,1/4/16,18:30,ORCHARD DOWNS,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,46
II1600018,1/5/16,20:12,1/5/16,20:12,GREEN ST W / MATHEWS AVE,WARRANT ARREST/TRAFFIC CITATIONS,ARREST,10
II1600017,1/5/16,16:10,1/5/16,12:26,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,18
II1600020,1/6/16,13:43,1/4/16,15:50,CAMPUS AREA,THEFT-LOST/MISLAID PROPERTY,PENDING,10
II1600021,1/6/16,14:48,1/6/16,14:48,2000 blk of HAZELWOOD CT,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,0
II1600023,1/7/16,18:03,1/7/16,13:15,MAIN LIBRARY,THEFT $500 AND UNDER,ADMIN. CLOSE,0
II1600022,1/7/16,2:07,1/7/16,2:00,PARKING LOT C-10,DISORDERLY CONDUCT-ALL OTHER,ARREST,17
II1600024,1/8/16,0:24,1/8/16,0:24,CHALMERS E / OAK,TRESPASS-RESIDENCE,ARREST,0
II1600025,1/8/16,14:47,1/4/16,12:30,2000 blk of OAK ST S,THEFT $500 AND UNDER,ARREST,0
II1600027,1/9/16,0:14,1/9/16,0:14,SECOND / UNIVERSITY,UNLAWFUL USE OF WEAPONS,ARREST,36
II1600028,1/9/16,0:29,1/8/16,14:00,GRAINGER LIBRARY,THEFT OVER $500,ADMIN. CLOSE,11
II1600030,1/12/16,16:13,1/12/16,15:55,BECKMAN INSTITUTE,THEFT $500 AND UNDER,ARREST,1
II1600033,1/13/16,8:12,12/17/15,15:55,TRADE CENTER DR / KIRBY,STALKING,CLEARED EXCEPT. REFUSAL TO,0
II1600032,1/13/16,1:43,1/13/16,1:43,FIFTH ST / HEALEY ST,TRAFFIC CITATION/VOP,ARREST,0
II1600034,1/13/16,20:08,1/13/16,16:45,ACTIVATION RECREATION CEN,THEFT OVER $500,UNFOUNDED,0
II1600036,1/14/16,10:10,1/13/16,12:00,CHEMISTRY ANNEX,THEFT $500 AND UNDER,ADMIN. CLOSE,47
II1600038,1/14/16,13:22,1/12/16,8:00,CLARK ST / HARVEY,THEFT-MOTOR VEHICLE,UNFOUNDED,0
II1600040,1/14/16,16:38,1/14/16,8:00,PARKING LOT D-5,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,17
II1600035,1/14/16,21:00,1/14/16,21:00,CANDLEWOOD SUITES,PIMPING - PROMOTING PROSTITUTION,ARREST,0
II1600044,1/15/16,8:35,1/12/16,14:00,CHICAGO,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1600041,1/15/16,1:40,1/15/16,1:40,1000 blk of UNIVERSITY W,DUI,ARREST,36
II1600047,1/15/16,22:58,1/15/16,22:58,UNIVERSITY AVE / WRIGHT ST,DRUG EQUIPMENT-POSSESSION,ARREST,0
II1600043,1/15/16,3:52,1/14/16,14:06,COORDINATED SCIENCE LAB,THEFT $500 AND UNDER,ADMIN. CLOSE,1
FI160150039,1/15/16,2:07,1/15/16,2:07,THIRD/CHALMERS,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,0
II1600050,1/16/16,23:31,1/16/16,16:00,BRADLEY / WALNUT,ASSIST CPD,ADMIN. CLOSE,0
II1600051,1/17/16,3:19,1/17/16,1:08,KAM'S,THEFT $500 AND UNDER,STUDENT DISCIPLINE REFERRAL,0
II1600052,1/17/16,4:03,1/17/16,4:03,200 blk of CLARK ST E,WARRANT ARREST,ARREST,0
II1600053,1/17/16,18:26,1/17/16,18:26,LUNDGREN RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,34
FI16170410,1/17/16,23:58,1/17/16,23:58,ALLEN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,36
FI16170378,1/17/16,21:56,1/17/16,21:56,TRELEASE RESD HALL,DRUGS,ADMIN. CLOSED,34
II1600057,1/18/16,19:16,1/18/16,19:16,BOUSFIELD RESIDENCE HALL,DEL/MANUF CANNABIS UNDER 30 G -MISD,PENDING,34
II1600054,1/18/16,7:38,1/14/16,7:45,WILLARD AIRPORT,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,0
II1600058,1/18/16,21:02,1/18/16,21:00,GREGORY DR / DORNER,BATTERY,ARREST,50
II1600060,1/18/16,21:40,1/18/16,21:30,IKENBERRY STUDENT DINING,THEFT-RETAIL,STUDENT DISCIPLINE REFERRAL,34
FI16180038,1/18/16,3:04,1/18/16,3:04,BLAISDELL RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,41
FI16180015,1/18/16,0:52,1/18/16,0:52,FIFTH/UNIVERSITY,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,36
AI160180030,1/18/16,2:38,1/18/16,2:38,WARDELL RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,16
II1600063,1/19/16,13:44,1/18/16,18:15,ACTIVITIES RECREATION CTR,THEFT $500 AND UNDER,PENDING,39
II1600080,1/20/16,20:03,1/20/16,19:40,ILLINI UNION,THEFT-RETAIL,PENDING,47
II1600078,1/20/16,18:28,1/20/16,18:28,PARKING GARAGE F-29,CANNABIS POSS 30 G AND UNDER - OLD,STUDENT DISCIPLINE REFERRAL,36
II1600072,1/20/16,15:25,1/20/16,15:25,ELECTRICAL AND COMPUTER E,THEFT OVER $500,PENDING,1
AI160210007,1/21/16,1:00,1/21/16,1:00,TAFT RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,34
AI160210033,1/21/16,2:50,1/21/16,2:50,WESTON RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,34
II1600089,1/22/16,9:14,1/22/16,9:14,URBANA,SEARCH WARRANT ASSIST,ADMIN. CLOSE,36
II1600093,1/22/16,19:55,1/22/16,19:55,SHELDON RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST,32
II1600094,1/22/16,21:47,1/22/16,21:40,57 NORTH STORE,THEFT-RETAIL,PENDING,0
