Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition
II1300002;1/1/2013;1:39:00 a. m.;1/1/2013;1:39:00 a. m.;500 blk of JOHN STREET E;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300002;1/1/2013;1:39:00 a. m.;1/1/2013;1:39:00 a. m.;500 blk of JOHN STREET E;BREATH ALCOHOL OVER LIMIT;ARREST
;;;;;;;
II1300001;1/1/2013;12:44:00 a. m.;1/1/2013;12:44:00 a. m.;600 blk of GREEN E;POSSESSION OF CANNABIS;ARREST
;;;;;;;
II1300003;1/1/2013;6:25:00 a. m.;1/1/2013;6:25:00 a. m.;CIRCLE K;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300004;1/1/2013;9:22:00 a. m.;1/1/2013;2:00:00 a. m.;COMPUTER APPLICATION BLDG;CRIMINAL DAMAGE GOVT;ARREST
;;;;;;SUPPORT PROP;
II1300004;1/1/2013;9:22:00 a. m.;1/1/2013;2:00:00 a. m.;COMPUTER APPLICATION BLDG;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300006;1/3/2013;11:00:00 a. m.;12/20/2012;8:00:00 a. m.;KIRK / GERTY;THEFT FROM COIN-OP;ADMIN. CLOSE
;;;;;;MACHINE/DEVICE;
II1300007;1/3/2013;12:43:00 p. m.;11/28/2012;12:00:00 p. m.;WILLARD AIRPORT;THEFT BY LESSEE;CLEARED EXCEPT. PROS.
;;;;;;;FAIL TO
2975-2012;1/3/2013;2:47:00 p. m.;12/22/2012;3:30:00 p. m.;LUNDGREN HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
2964-2012;1/3/2013;2:46:00 p. m.;12/18/2012;3:10:00 a. m.;TOWNSEND HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
2965-2012;1/3/2013;2:44:00 p. m.;12/19/2102;3:10:00 a. m.;SCOTT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
2967-2012;1/3/2013;2:39:00 p. m.;12/20/2012;10:35:00 p. m.;SNYDER HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
2968-2012;1/3/2013;2:37:00 p. m.;12/21/2012;3:00:00 a. m.;VAN DOREN HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
2977-2012;1/3/2013;2:23:00 p. m.;12/22/2012;3:30:00 p. m.;TOWNSEND HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
CC1300070;1/5/2013;12:00:00 a. m.;12/23/2012;6:25:00 p. m.;800 blk of S FOURTH ST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
II1300015;1/6/2013;4:49:00 p. m.;1/6/2013;4:49:00 p. m.;UNIVERSITY AV E / THIRD ST;WARRANT-IN STATE;ARREST
;;;;;;;
II1300016;1/6/2013;10:47:00 p. m.;1/6/2013;10:47:00 p. m.;SIEBEL;RESIST/OBSTRUCT/DISARM AN;PENDING
;;;;;;OFFICER;
II1300020;1/8/2013;7:37:00 p. m.;1/8/2013;7:37:00 p. m.;WILLARD AIRPORT;WARRANT-IN STATE;ARREST
;;;;;;;
CC1300115;1/8/2013;12:00:00 a. m.;1/4/2013;4:45:00 p. m.;600 blk of GREEN ST E;SIMPLE ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
II1300021;1/9/2013;2:21:00 a. m.;1/9/2013;2:21:00 a. m.;MAHOMET;ASSIST K9 SEARCH;ADMIN. CLOSE
;;;;;;;
II1300024;1/9/2013;3:26:00 p. m.;1/9/2013;3:26:00 p. m.;IUB;CRIMINAL DEFACEMENT OF;ADMIN. CLOSE
;;;;;;PROPERTY;
II1300026;1/10/2013;2:32:00 a. m.;1/10/2013;2:32:00 a. m.;JOES BREWERY;MIP;ARREST
;;;;;;;
II1300027;1/10/2013;10:38:00 a. m.;12/16/2012;12:01:00 a. m.;WILLARD AIRPORT;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300029;1/10/2013;11:07:00 a. m.;1/10/2013;9:22:00 a. m.;PSYCHOLOGY BUILDING;DECEPTIVE PRACTICES;ADMIN. CLOSE
;;;;;;;
II1300030;1/11/2013;2:41:00 a. m.;1/11/2013;2:41:00 a. m.;100 blk of FOURTH ST N;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300030;1/11/2013;2:41:00 a. m.;1/11/2013;2:41:00 a. m.;100 blk of FOURTH ST N;OBSTRUCTING JUSTICE;PENDING
;;;;;;;
II1300031;1/11/2013;7:11:00 a. m.;1/11/2013;6:48:00 a. m.;ABBOTT POWER PLANT;THEFT UNDER;ARREST
;;;;;;;
II1300031;1/11/2013;7:11:00 a. m.;1/11/2013;6:48:00 a. m.;ABBOTT POWER PLANT;TRESPASS-STATE SUPPORTED;ARREST
;;;;;;LAND;
CC1300186;1/11/2013;12:00:00 a. m.;1/8/2013;2:00:00 p. m.;STARBUCKS;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
II1300033;1/12/2013;2:11:00 p. m.;1/12/2013;2:11:00 p. m.;KCPA;DISORDERLY CONDUCT-ALL;PENDING
;;;;;;OTHER;
II1300033;1/12/2013;2:11:00 p. m.;1/12/2013;2:11:00 p. m.;KCPA;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300034;1/12/2013;4:13:00 p. m.;1/12/2013;4:13:00 p. m.;700 blk of GREGORY ST S;TELEPHONE THREAT;ADMIN. CLOSE
;;;;;;;
