Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II1400001,1/1/2014,3:57:00 a. m.,1/1/2014,3:57:00 a. m.,WESLEY AVE / CURTIS RD,ASSIST CCSO TRAF STOP,ADMIN. CLOSE
,,,,,,,
II1400004,1/1/2014,5:11:00 p. m.,1/1/2014,5:11:00 p. m.,SHERMAN RESIDENCE HALL,DECEPTIVE PRACTICES,REFERRED TO OTHER
,,,,,,,JURISDICTION
FI140010035,1/1/2014,12:45:00 a. m.,1/1/2014,12:45:00 a. m.,500 E GREEN,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140010176,1/1/2014,8:07:00 a. m.,1/1/2014,8:07:00 a. m.,ALLEN RESIDENCE HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400005,1/2/2014,12:10:00 p. m.,1/2/2014,12:10:00 p. m.,NEVADA ST W / BUSEY,ASSIST UPD W/THEFT,ADMIN. CLOSE
,,,,,,,
00001-2014,1/2/2014,2:59:00 p. m.,1/2/2014,2:59:00 p. m.,IUB,THEFT,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400008,1/3/2014,11:27:00 a. m.,8/25/2013,11:00:00 a. m.,1100 blk of GREEN ST W,SEXUAL-ASSAULT-CRIMINAL,ADMIN. CLOSE
,,,,,,,
II1400009,1/3/2014,11:59:00 a. m.,1/3/2014,1:00:00 a. m.,1100 blk of STOUGHTON ST,BURGLARY RESIDENTIAL,ADMIN. CLOSE
,,,,,,,
CC1400001,1/3/2014,12:00:00 a. m.,12/31/2013,11:54:00 p. m.,300 blk of DANIEL ST E,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
II1400012,1/4/2014,3:48:00 p. m.,1/4/2014,1:00:00 p. m.,STATE FARM CENTER,DECEPTIVE PRACTICES,ADMIN. CLOSE
,,,,,,,
AI140040022,1/4/2014,1:35:00 a. m.,1/4/2014,1:35:00 a. m.,400-BLK E GREEN,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400013,1/5/2014,2:22:00 a. m.,1/5/2014,2:22:00 a. m.,JOHN E / FIFTH,WARRANT-IN STATE,ARREST
,,,,,,,
II1400018,1/7/2014,4:26:00 p. m.,1/7/2014,4:26:00 p. m.,100 blk of SPRINGFIELD E,ASST CPD/ARMED SUBJECT,ADMIN. CLOSE
,,,,,,,
CC1400147,1/7/2014,12:00:00 a. m.,1/7/2014,4:00:00 p. m.,100 blk of E SPRINGFIELD AVE,BURGLARY,REPORTED TO OTHER
,,,,,,,AGENCY
II1400026,1/8/2014,5:49:00 p. m.,1/7/2014,6:00:00 p. m.,CRCE,THEFT OVER,ARREST
,,,,,,,
II1400026,1/8/2014,5:49:00 p. m.,1/7/2014,6:00:00 p. m.,CRCE,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400027,1/8/2014,7:37:00 p. m.,1/8/2014,7:37:00 p. m.,PARKING LOT F-29,TRESPASS-STATE SUPPORTED LAND,ARREST
,,,,,,,
II1400029,1/9/2014,9:26:00 a. m.,1/9/2014,9:26:00 a. m.,ILLINOIS TERMINAL,WARRANT-IN STATE,ARREST
,,,,,,,
II1400033,1/10/2014,11:58:00 p. m.,1/10/2014,11:58:00 p. m.,CVS PARKING LOT,CANNABIS-POSS 30 GM & UNDER,ARREST
,,,,,,,
II1400033,1/10/2014,11:58:00 p. m.,1/10/2014,11:58:00 p. m.,CVS PARKING LOT,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
FI140100036,1/10/2014,1:59:00 a. m.,1/10/2014,1:59:00 a. m.,THIRD/DANIEL,LIQUOR,ADMIN. CLOSED
,,,,,,,
II1400035,1/11/2014,2:58:00 p. m.,12/21/2013,4:00:00 p. m.,100 blk of GREGORY AVE S,MISSING PERSON ADULT/MALE,ADMIN. CLOSE
,,,,,,,
II1400040,1/11/2014,11:03:00 p. m.,1/11/2014,11:03:00 p. m.,PENNSYLVANIA AVE W / CARLE ST,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
,,,,,,,
II1400041,1/12/2014,12:39:00 a. m.,1/12/2014,12:39:00 a. m.,JOHN ST E / SIXTH ST,CANNABIS-POSS 30 GM & UNDER,ARREST
,,,,,,,
II1400041,1/12/2014,12:39:00 a. m.,1/12/2014,12:39:00 a. m.,JOHN ST E / SIXTH ST,DRIVING UNDER INFLUENCE-DRUGS,ARREST
,,,,,,,
II1400041,1/12/2014,12:39:00 a. m.,1/12/2014,12:39:00 a. m.,JOHN ST E / SIXTH ST,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400045,1/13/2014,8:27:00 a. m.,1/2/2014,12:00:00 p. m.,PARKING LOT F-9,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE
,,,,,,,
II1400048,1/13/2014,3:20:00 p. m.,12/31/2013,12:00:00 p. m.,PARKING LOT E-38,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE
,,,,,,,
II1400049,1/13/2014,4:03:00 p. m.,1/13/2014,11:00:00 a. m.,ST MARYS W / GOODWIN,UNLAWFUL RESTRAINT,PENDING
,,,,,,,
II1400051,1/14/2014,9:11:00 p. m.,1/14/2014,8:58:00 p. m.,GOODWIN / MAIN,ROBBERY,PENDING
,,,,,,,
II1400054,1/16/2014,12:09:00 a. m.,1/16/2014,12:09:00 a. m.,KAM'S,THEFT UNDER,ARREST
,,,,,,,
II1400054,1/16/2014,12:09:00 a. m.,1/16/2014,12:09:00 a. m.,KAM'S,RESIST/OBSTRUCT/DISARM AN,ARREST
,,,,,,OFFICER,
