Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,
,,,,,,,,
FI1610029,1/1/2016,0:46,1/1/2016,0:46,500 BLK GREEN ST,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
II1600005,1/2/2016,18:01,1/2/2016,18:01,ILLINOIS TERMINAL,WARRANT ARREST,ARREST,
,,,,,,,,
II1600004,1/2/2016,16:44,1/2/2016,16:44,NEIL ST S / GREEN ST E,WARRANT ARREST,ARREST,
,,,,,,,,
II1600007,1/3/2016,1:29,1/3/2015,1:29,GREEN ST W / LINCOLN,WARRANT ARREST,ARREST,
,,,,,,,,
FI1630043,1/3/2016,2:13,1/3/2016,2:13,THIRD/DANIEL,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
II1600012,1/4/2016,14:06,6/1/2015,0:00,2900 blk of RUTHERFORD,THEFT OF MOTOR VEH PARTS & ACCESS,ADMIN. CLOSE,
,,,,,,,,
II1600010,1/4/2016,0:37,1/4/2015,0:37,PARK ST W / BUSEY,WARRANT ARREST,ARREST,
,,,,,,,,
II1600014,1/4/2016,23:02,1/4/2016,23:02,GREEN ST / CHESTNUT,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600015,1/5/2016,10:13,1/4/2016,18:30,ORCHARD DOWNS,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,
,,,,,,,,
II1600018,1/5/2016,20:12,1/5/2016,20:12,GREEN ST W / MATHEWS AVE,WARRANT ARREST/TRAFFIC CITATIONS,ARREST,
,,,,,,,,
II1600017,1/5/2016,16:10,1/5/2016,12:26,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
II1600020,1/6/2016,13:43,1/4/2016,15:50,CAMPUS AREA,THEFT-LOST/MISLAID PROPERTY,PENDING,
,,,,,,,,
II1600021,1/6/2016,14:48,1/6/2016,14:48,2000 blk of HAZELWOOD CT,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,
,,,,,,,,
