Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition;
;;;;;;;;
CH1810459;1/1/2019;7:00;12/31/2018;23:39;KAMS;BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
IF1900002;1/1/2019;3:10;1/1/2019;3:10;C7 PARKING LOT;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
II1900001;1/1/2019;1:26;1/1/2019;1:25;KAMS;BATTERY-AGGRAVATED;ARREST;
;;;;;;;;
II1900001;1/1/2019;1:26;1/1/2019;1:25;KAMS;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
II1900001;1/1/2019;1:26;1/1/2019;1:25;KAMS;RESIST/OBS CORRECT/POLICE/FIRE;ARREST;
;;;;;;;;
II1900001;1/1/2019;1:26;1/1/2019;1:25;KAMS;OTHER CRIMINAL OFFENSES;ARREST;
;;;;;;;;
II1900002;1/2/2019;2:35;1/2/2019;2:35;FOURTH ST S / SPRINGFIELD;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1900003;1/2/2019;7:47;1/2/2019;7:47;COBLE HALL;CRIMINAL DAMAGE GOVT SUPPORT PROP;ADMIN. CLOSE;
;;;;;;;;
II1900006;1/3/2019;15:24;11/21/2016;12:00;SIEBEL CENTER;THEFT OVER $500;PENDING;
;;;;;;;;
04258-2018;1/4/2019;12:47;12/22/2018;12:45;WASSAJA RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
CC1809987;1/4/2019;0:00;7/13/2018;22:00;CLYBOURNE BAR;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809989;1/4/2019;0:00;8/3/2018;0:30;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810018;1/4/2019;0:00;12/14/2018;2:00;500 blk of S THIRD ST;CRUELTY TO ANIMALS;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810062;1/4/2019;0:00;12/15/2018;15:00;blk of E GREEN ST;BURGLARY FROM MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810080;1/4/2019;0:00;12/16/2018;23:46;500 blk of E HEALEY ST;SPECIFIC NOISE PROHIBITED;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810100;1/4/2019;0:00;12/17/2018;16:35;LOCUST ST / JOHN ST;PEDESTRIAN STOPS;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810100;1/4/2019;0:00;12/17/2018;16:35;LOCUST ST / JOHN ST;BATTERY-AGGRAVATED;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810111;1/4/2019;0:00;12/15/2018;23:00;blk of E JOHN ST;THEFT-MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810132;1/4/2019;0:00;12/18/2018;0:30;RED LION;THEFT OF LOST/MISLAID PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810132;1/4/2019;0:00;12/18/2018;0:30;RED LION;FRAUD-CREDIT CARD;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810167;1/4/2019;0:00;12/19/2018;18:00;blk of E DANIEL ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810181;1/4/2019;0:00;9/21/2018;22:30;KAMS BAR;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810183;1/4/2019;0:00;10/12/2018;0:01;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900009;1/4/2019;10:05;1/4/2019;10:00;ILLINI UNION;TRESPASS-STATE SUPPORTED LAND;ARREST;
;;;;;;;;
II1900011;1/4/2019;17:07;1/4/2019;16:44;I-HOTEL;DECEPTIVE PRACTICES;ADMIN. CLOSE;
;;;;;;;;
II1900012;1/5/2019;22:17;1/5/2019;22:17;LINCOLN AV N / KILLARNEY;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
UU1900081;1/6/2019;7:00;1/6/2019;4:38;605 INDIANA AVE, URBANA;DOMESTIC BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900015;1/7/2019;19:46;1/7/2019;19:46;800 blk of GREEN ST W;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
CC1803801;1/8/2019;0:00;10/13/2017;22:30;200 blk of E GREEN ST;SEXUAL-ASSAULT-CRIMINAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810190;1/8/2019;0:00;12/18/2018;19:37;CAFE BENE;DECEPTIVE PRACTICES;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810275;1/8/2019;0:00;12/23/2018;0:01;300 blk of E JOHN ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810345;1/8/2019;0:00;9/15/2018;21:00;KAMS;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810346;1/8/2019;0:00;6/30/2018;22:00;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810459;1/8/2019;0:00;12/31/2018;23:38;600 blk of E DANEIL ST;BATTERY -CITY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900005;1/8/2019;0:00;1/1/2019;1:26;KAMS;BATTERY -CITY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-001;1/8/2019;13:55;2018;UNKNOWN;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
II1900020;1/8/2019;17:24;1/8/2019;17:00;UNI HIGH SCHOOL;THEFT OF LOST/MISLAID PROPERTY;ADMIN. CLOSE;
;;;;;;;;
UU1900111;1/8/2019;7:00;1/7/2019;19:49;803 W GREEN ST, URBANA;AGGRAVATED BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
