Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
II1700001,1/1/17,2:15,1/1/17,2:14,GREEN E / FIRST ST,DRIVING UNDER THE INFL-ALCOHOL,ARREST,0
IF1700001,1/1/17,0:43,1/1/17,0:43,51 E GREGORY,FIGHT,ADMIN CLOSED,33
II1700002,1/3/17,8:35,8/14/14,12:00,300 blk of BLUESTEM DR,THEFT OVER $500,ADMIN. CLOSE,0
II1700004,1/3/17,19:08,1/3/17,19:08,NEIL ST / AVONDALE DR,WARRANT-IN STATE,ARREST,0
II1700014,1/8/17,22:11,1/8/17,22:11,THIRD ST S / SPRINGFIELD AVE,CANNABIS POSS OVER 10 - 100 G -MISD,ARREST,0
II1700015,1/9/17,1:54,1/9/17,1:54,OAK ST / STADIUM DR,WARRANT-IN STATE,ARREST,37
II1700022,1/11/17,20:14,1/11/17,20:14,KIRBY AVE W / NEIL ST S,OTHER CRIMINAL OFFENSES,PENDING,0
II1700021,1/11/17,14:40,1/11/17,14:40,1300 blk of LINCOLN AVENUE N,METRO ACTIVATION,ADMIN. CLOSE,0
IF1700022,1/11/17,1:18,1/11/17,1:18,PARKING LOT C-5,LARCENY,ADMIN CLOSED,17
II1700026,1/13/17,17:35,1/13/17,17:35,SECOND S / GREEN,CONTROLLED SUBSTANCE-POSSESSION,ARREST,0
II1700029,1/15/17,15:27,1/15/17,15:27,LEONARD RESIDENCE HALL,THEFT $500 AND UNDER,ADMIN. CLOSE,32
IF1700025,1/15/17,2:31,1/15/17,2:31,FOURTH ST / ARMORY,LIQUOR - UNDERAGE,ADMIN CLOSED,31
II1700036,1/16/17,17:08,1/16/17,17:08,500 blk of FIRST ST S,WARRANT-IN STATE,ARREST,0
CSA16-129,1/17/17,16:53,12/6/16,UNKNOWN,TAFT VAN DOREN HALL,SEX OFFENSE,ADMIN CLOSED,34
IF1700040,1/17/17,0:56,1/17/17,0:56,SAUDNERS RESIDENCE HALL,LIQUOR - UNDERAGE,ADMIN CLOSED,34
00032-2017,1/17/17,9:53,1/15/17,22:30,WESTON RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,34
CSA17-02,1/17/17,8:00,1/15/17,UNKNOWN,UNKNOWN PRIVATE APT,RAPE,ADMIN CLOSED,0
IF1700042,1/18/17,2:37,1/18/17,2:37,FOURTH ST / CHALMERS ST,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,27
00053-2017,1/18/17,9:55,1/17/17,19:30,TRELEASE RES HALL,DRUGS,ADMIN CLOSED,41
