blockID,topLeft_lat,topLeft_lon,topRight_lat,topRight_lon,bottomLeft_lat,bottomLeft_lon,bottomRight_lat,bottomRight_lon
1,40.116411,-88.228957,40.116411,-88.225699,40.112745,-88.228957,40.112745,-88.225699
2,40.116411,-88.225699,40.116411,-88.224054,40.11544,-88.225699,40.11544,-88.224054
3,40.116411,-88.224054,40.116411,-88.22238,40.11544,-88.224054,40.11544,-88.22238
4,40.11544,-88.225699,40.11544,-88.224054,40.113538,-88.225699,40.113538,-88.224054
5,40.11544,-88.224054,40.11544,-88.22238,40.1145,-88.224054,40.1145,-88.22238
6,40.1145,-88.224054,40.1145,-88.22238,40.113538,-88.224054,40.113538,-88.22238
7,40.113538,-88.225699,40.113538,-88.224054,40.112745,-88.225699,40.112745,-88.224054
8,40.113538,-88.224054,40.113538,-88.22238,40.112745,-88.224054,40.112745,-88.22238
9,40.112745,-88.230443,40.112745,-88.228957,40.111514,-88.230443,40.111514,-88.228957
10,40.111514,-88.230443,40.111514,-88.228957,40.110321,-88.230443,40.110321,-88.228957
11,40.112745,-88.228957,40.112745,-88.225699,40.110321,-88.228957,40.110321,-88.225699
12,40.112745,-88.225699,40.112745,-88.224054,40.110321,-88.225699,40.110321,-88.224054
13,40.112745,-88.224054,40.112745,-88.220667,40.110321,-88.224054,40.110321,-88.220667
14,40.110321,-88.230443,40.110321,-88.228957,40.109062,-88.230443,40.109062,-88.228957
15,40.110321,-88.225699,40.110321,-88.224054,40.106983,-88.225699,40.106983,-88.224054
16,40.110321,-88.224054,40.110321,-88.219316,40.109044,-88.224054,40.109044,-88.219316
17,40.109062,-88.23201,40.109062,-88.230443,40.107964,-88.23201,40.107964,-88.230443
18,40.109062,-88.230443,40.109062,-88.228957,40.107964,-88.230443,40.107964,-88.228957
19,40.109044,-88.224054,40.109044,-88.221577,40.106983,-88.224054,40.106983,-88.221577
20,40.109044,-88.221577,40.109044,-88.219316,40.106983,-88.221577,40.109044,-88.219316
21,40.107964,-88.233536,40.107964,-88.23201,40.106823,-88.233536,40.106823,-88.23201
22,40.107964,-88.23201,40.107964,-88.230443,40.106823,-88.23201,40.106823,-88.230443
23,40.107964,-88.230443,40.107964,-88.228957,40.106823,-88.230443,40.106823,-88.228957
24,40.106983,-88.225699,40.106983,-88.224054,40.105954,-88.225699,40.105954,-88.224054
25,40.106983,-88.224054,40.106983,-88.221577,40.105954,-88.224054,40.105954,-88.221577
26,40.106983,-88.221577,40.106983,-88.219316,40.105954,-88.221577,40.105954,-88.219316
27,40.106823,-88.233536,40.106823,-88.23201,40.105416,-88.233536,40.105416,-88.23201
28,40.106823,-88.23201,40.106823,-88.230443,40.105416,-88.23201,40.105416,-88.230443
29,40.106823,-88.230443,40.106823,-88.228957,40.105416,-88.230443,40.105416,-88.228957
30,40.105416,-88.241528,40.105416,-88.238628,40.104135,-88.241528,40.104135,-88.238628
31,40.105416,-88.233536,40.105416,-88.230443,40.104135,-88.233536,40.104135,-88.230443
32,40.105954,-88.221577,40.105954,-88.219316,40.100547,-88.221883,40.100547,-88.219316
33,40.104135,-88.241528,40.104135,-88.238628,40.102707,-88.241528,40.102707,-88.238628
34,40.104135,-88.238628,40.104135,-88.233536,40.101499,-88.238628,40.101499,-88.233536
35,40.104135,-88.233536,40.104135,-88.230443,40.101499,-88.233536,40.101499,-88.230443
36,40.104135,-88.230443,40.104135,-88.221883,40.100547,-88.230443,40.100547,-88.221883
37,40.102707,-88.241528,40.102707,-88.238628,40.098062,-88.241528,40.098062,-88.238628
38,40.101499,-88.233536,40.101499,-88.230443,40.100547,-88.233536,40.100547,-88.230443
39,40.101499,-88.238628,40.101499,-88.233536,40.098062,-88.238628,40.098062,-88.233536
40,40.100547,-88.233536,40.100547,-88.222852,40.098062,-88.233536,40.098062,-88.222852
41,40.100547,-88.222852,40.100547,-88.219316,40.098062,-88.222852,40.098062,-88.219316
42,40.098062,-88.241528,40.098062,-88.238628,40.094497,-88.241528,40.094497,-88.238628
43,40.098062,-88.238628,40.098062,-88.233536,40.094497,-88.238628,40.094497,-88.233536
44,40.098062,-88.233536,40.098062,-88.223746,40.094497,-88.233536,40.094497,-88.223746
45,40.098062,-88.223746,40.098062,-88.219316,40.094497,-88.223746,40.094497,-88.219316
46,40.098062,-88.219316,40.098062,-88.209672,40.094497,-88.219316,40.094497,-88.209672
47,40.110321,-88.228957,40.110321,-88.225699,40.104135,-88.228957,40.104135,-88.225699
48,40.105416,-88.230443,40.105416,-88.228957,40.104135,-88.230443,40.104135,-88.228957
49,40.105954,-88.225699,40.105954,-88.224054,40.104135,-88.225699,40.104135,-88.224054
50,40.105954,-88.224054,40.105954,-88.221577,40.104135,-88.224054,40.104135,-88.221883
