incidentID,reportedAt,occuredAt,disposition,crimeTypeID
II1300002,2013-1-1 1:39:00,2013-1-1 1:39:00,ARREST,802
II1300001,2013-1-1 12:44:00,2013-1-1 12:44:00,ARREST,572
II1300003,2013-1-1 6:25:00,2013-1-1 6:25:00,ARREST,802
II1300004,2013-1-1 9:22:00,2013-1-1 2:00:00,ARREST,575
II1300006,2013-3-1 11:00:00,2012-20-12 8:00:00,ADMIN. CLOSE,617
II1300007,2013-3-1 12:43:00,2012-28-11 12:00:00,CLEARED EXCEPT. PROS.,738
2975-2012,2013-3-1 2:47:00,2012-22-12 3:30:00,STUDENT DISCIPLINE,729
2964-2012,2013-3-1 2:46:00,2012-18-12 3:10:00,STUDENT DISCIPLINE,673
2965-2012,2013-3-1 2:44:00,2002-19-12 3:10:00,STUDENT DISCIPLINE,673
2967-2012,2013-3-1 2:39:00,2012-20-12 10:35:00,STUDENT DISCIPLINE,673
2968-2012,2013-3-1 2:37:00,2012-21-12 3:00:00,STUDENT DISCIPLINE,673
CC1300070,2013-5-1 12:00:00,2012-23-12 6:25:00,REPORTED TO OTHER,365
II1300015,2013-6-1 4:49:00,2013-6-1 4:49:00,ARREST,790
II1300016,2013-6-1 10:47:00,2013-6-1 10:47:00,PENDING,506
CC1300115,2013-8-1 12:00:00,2013-4-1 4:45:00,REPORTED TO OTHER,721
II1300021,2013-9-1 2:21:00,2013-9-1 2:21:00,ADMIN. CLOSE,841
II1300024,2013-9-1 3:26:00,2013-9-1 3:26:00,ADMIN. CLOSE,762
II1300026,2013-10-1 2:32:00,2013-10-1 2:32:00,ARREST,685
II1300029,2013-10-1 11:07:00,2013-10-1 9:22:00,ADMIN. CLOSE,533
II1300030,2013-11-1 2:41:00,2013-11-1 2:41:00,ADMIN. CLOSE,661
II1300031,2013-11-1 7:11:00,2013-11-1 6:48:00,ARREST,335
CC1300186,2013-11-1 12:00:00,2013-8-1 2:00:00,REPORTED TO OTHER,766
II1300033,2013-12-1 2:11:00,2013-12-1 2:11:00,PENDING,658
II1300034,2013-12-1 4:13:00,2013-12-1 4:13:00,ADMIN. CLOSE,535
II1300035,2013-12-1 6:27:00,2013-12-1 6:27:00,ARREST,790
II1300036,2013-12-1 11:23:00,2013-12-1 11:23:00,ARREST,790
II1300039,2013-13-1 3:08:00,2013-13-1 3:08:00,ADMIN. CLOSE,630
II1300038,2013-13-1 3:26:00,2013-13-1 3:26:00,ADMIN. CLOSE,633
II1300040,2013-13-1 2:42:00,2013-13-1 2:40:00,ARREST,790
II1300041,2013-13-1 5:38:00,2013-13-1 5:38:00,ADMIN. CLOSE,661
II1300049,2013-14-1 4:00:00,2012-21-12 12:00:00,ADMIN. CLOSE,335
II1300045,2013-14-1 11:20:00,2012-17-11 12:00:00,ADMIN. CLOSE,730
