Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
CH1810459,1/1/19,7:00,12/31/18,23:39,KAMS,BATTERY,REPORTED TO OTHER AGENCY,0
IF1900002,1/1/19,3:10,1/1/19,3:10,C7 PARKING LOT,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,17
II1900002,1/2/19,2:35,1/2/19,2:35,FOURTH ST S / SPRINGFIELD,WARRANT-IN STATE,ARREST,0
II1900003,1/2/19,7:47,1/2/19,7:47,COBLE HALL,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,18
II1900006,1/3/19,15:24,11/21/16,12:00,SIEBEL CENTER,THEFT OVER $500,PENDING,4
04258-2018,1/4/19,12:47,12/22/18,12:45,WASSAJA RESIDENCE HALL,DRUGS,STUDENT DISC REFERRAL,34
CC1809987,1/4/19,0:00,7/13/18,22:00,CLYBOURNE BAR,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,14
CC1809989,1/4/19,0:00,8/3/18,0:30,RED LION,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
CC1810018,1/4/19,0:00,12/14/18,2:00,500 blk of S THIRD ST,CRUELTY TO ANIMALS,REPORTED TO OTHER AGENCY,0
CC1810062,1/4/19,0:00,12/15/18,15:00,blk of E GREEN ST,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1810080,1/4/19,0:00,12/16/18,23:46,500 blk of E HEALEY ST,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1810100,1/4/19,0:00,12/17/18,16:35,LOCUST ST / JOHN ST,PEDESTRIAN STOPS,REPORTED TO OTHER AGENCY,0
CC1810111,1/4/19,0:00,12/15/18,23:00,blk of E JOHN ST,THEFT-MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1810167,1/4/19,0:00,12/19/18,18:00,blk of E DANIEL ST,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,0
CC1810181,1/4/19,0:00,9/21/18,22:30,KAMS BAR,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
II1900009,1/4/19,10:05,1/4/19,10:00,ILLINI UNION,TRESPASS-STATE SUPPORTED LAND,ARREST,47
II1900011,1/4/19,17:07,1/4/19,16:44,I-HOTEL,DECEPTIVE PRACTICES,ADMIN. CLOSE,0
II1900012,1/5/19,22:17,1/5/19,22:17,LINCOLN AV N / KILLARNEY,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
UU1900081,1/6/19,7:00,1/6/19,4:38,"605 INDIANA AVE, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
II1900015,1/7/19,19:46,1/7/19,19:46,800 blk of GREEN ST W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
CC1803801,1/8/19,0:00,10/13/17,22:30,200 blk of E GREEN ST,SEXUAL-ASSAULT-CRIMINAL,REPORTED TO OTHER AGENCY,0
CC1810190,1/8/19,0:00,12/18/18,19:37,CAFE BENE,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,0
CC1810275,1/8/19,0:00,12/23/18,0:01,300 blk of E JOHN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1810459,1/8/19,0:00,12/31/18,23:38,600 blk of E DANEIL ST,BATTERY -CITY,REPORTED TO OTHER AGENCY,18
CSA19-001,1/8/19,13:55,2018,UNKNOWN,UNKNOWN LOCATION,RAPE,ADMIN CLOSED,0
II1900020,1/8/19,17:24,1/8/19,17:00,UNI HIGH SCHOOL,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,7
UU1900111,1/8/19,7:00,1/7/19,19:49,"803 W GREEN ST, URBANA",AGGRAVATED BATTERY,REPORTED TO OTHER AGENCY,0
II1900022,1/9/19,11:53,1/9/19,11:50,DANIELS RESIDENCE HALL,CANNABIS POSS 10 GM OR LESS -ORD,STUDENT DISCIPLINE REFERRAL,13
II1900023,1/9/19,21:09,1/9/19,21:09,100 blk of BUSEY AV N,WARRANT-IN STATE,ARREST,0
II1900027,1/11/19,0:50,1/11/19,0:50,1300 blk of LINCOLN AVE N,POSSESSION STOLEN PROPERTY,ARREST,0
II1900031,1/13/19,14:26,12/1/18,12:00,ALTGELD HALL,THEFT $500 AND UNDER,ADMIN. CLOSE,47
UU1900184,1/13/19,7:00,1/12/19,19:19,"902 S LINCOLN AVE, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
CC1900311,1/14/19,0:00,1/13/19,20:00,1000 blk of LOCUST ST,CANNABIS POSS OVER 10 - 100 G -MISD,REPORTED TO OTHER AGENCY,0
II1900033,1/14/19,0:21,1/13/19,22:00,ORCHARD DOWNS APARTMENTS,BATTERY-AGGRAVATED,ARREST,46
II1900034,1/14/19,13:42,1/14/19,11:00,700 blk of BIRCH ST S,DECEPTIVE PRACTICES,ADMIN. CLOSE,0
II1900039,1/14/19,17:28,1/14/19,17:28,ACTIVIES AND RECREATION,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,39
00002-2019,1/16/19,8:03,1/7/19,0:01,PAR MAIN BUILDING,FURNISHING ALCOHOL TO MINOR,STUDENT DISC REFERRAL,0
00012-2019,1/16/19,8:09,1/13/19,20:45,SNYDER RESIDENCE HALL,LIQUOR-ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL,34
00014-2019,1/16/19,8:14,1/13/19,23:40,BUSEY RESIDENCE HALL,LIQUOR-ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL,50
00047-2019,1/16/19,8:22,1/14/19,20:55,HOPKINS RESIDENCE HALL,LARCENY,ADMIN CLOSED,34
00051-2019,1/16/19,8:29,1/15/19,1:10,WESTON RESIDENCE HALL,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,34
CC1900143,1/16/19,0:00,1/6/19,10:00,100 blk of S WRIGHT ST,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,11
CC1900339,1/16/19,0:00,1/15/19,9:30,500 blk of S FIRST ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
II1900042,1/16/19,9:26,1/15/19,22:00,700 blk of ELM BLVD S,THEFT OVER $500,UNFOUNDED,0
II1900044,1/16/19,11:32,1/16/19,11:32,ALLEN RESIDENCE HALL,BATTERY-DOMESTIC,ARREST,32
II1900045,1/16/19,13:42,1/14/19,7:00,FIFTH S / WHITE,FRAUD-CREDIT CARD,PENDING,0
II1900047,1/16/19,20:01,1/16/19,20:01,2000 blk of PHILO RD S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
UU1900227,1/16/19,7:00,1/15/19,11:26,"702 W ELM ST, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
CC1900388,1/17/19,7:00,1/17/19,3:24,"302 E JOHN ST, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
CSA19-003,1/17/19,13:57,1/13/19,UNKNOWN,SORORITY,RAPE,ADMIN CLOSED,0
II1900052,1/17/19,10:12,9/3/18,3:00,GREEN STREET E / SECOND,THEFT-IDENTITY,ADMIN. CLOSE,10
II1900056,1/17/19,15:48,1/17/19,15:48,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,18
II1900060,1/17/19,20:53,1/17/19,19:33,ACTIVITIES AND RECREATION,THEFT OVER $500,ADMIN. CLOSE,39
II1900061,1/17/19,20:37,1/17/19,20:37,BEECH ST / ROMINE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
CC1900416,1/18/19,0:00,1/18/19,3:02,900 blk of LOCUST ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
IF1900040,1/18/19,23:00,1/18/19,23:00,TOWNSEND RESIDENCE HALL,DRUGS,ADMIN CLOSED,16
II1900065,1/18/19,17:07,1/18/19,16:10,ACTIVITIES RECREATION CEN,THEFT $500 AND UNDER,ADMIN. CLOSE,39
II1900067,1/18/19,15:38,1/18/19,15:37,AERONOMY LAB,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,0
II1900069,1/18/19,23:23,1/18/19,23:23,1900 blk of CR 3000N,METRO ACTIVATION,ADMIN. CLOSE,0
IF1900048,1/20/19,1:20,1/20/19,1:20,BARTON RESIDENCE HALL,LIQUOR-UNDERAGE,ADMIN CLOSED,34
IF1900053,1/20/19,21:25,1/20/19,21:25,TRELEASE RESIDENCE HALL,DRUGS,ADMIN CLOSED,41
UU1900303,1/20/19,7:00,1/20/19,0:59,"703 W ILLINOIS ST, URBANA",BATTERY,REPORTED TO OTHER AGENCY,0
CC1900328,1/22/19,0:00,12/17/18,16:00,200 blk of W GREEN ST,THEFT-MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1900335,1/22/19,0:00,12/2/18,8:00,400 blk of CHALMERS ST,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,27
CC1900341,1/22/19,0:00,1/15/19,3:00,blk of CHALMERS ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1900349,1/22/19,0:00,1/15/19,17:59,1000 blk of S FIRST ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
II1900085,1/22/19,22:52,1/22/19,13:25,SHERMAN RESIDENCE HALL,DECEPTIVE PRACTICES,ADMIN. CLOSE,21
00167-2019,1/23/19,12:25,1/17/19,14:30,BOUSFIELD RESIDENCE HALL,FURNISHING ALCOHOL TO MINOR,STUDENT DISC REFERRAL,34
CSA19-005,1/23/19,15:46,12/21/18,20:00,PRIVATE BUSINESS,FONDLING,ADMIN CLOSED,36
II1900090,1/23/19,15:08,12/10/18,17:00,FACILITIES AND SERVICES,THEFT OVER $500,ADMIN. CLOSE,0
CC1809905,1/24/19,0:00,12/10/18,15:40,300 blk of E GREEN ST,BATTERY,REPORTED TO OTHER AGENCY,0
CC1900455,1/24/19,0:00,1/19/19,0:01,800 blk of S THIRD ST,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,0
CC1900461,1/24/19,0:00,1/19/19,13:30,JOES BREWERY,THEFT OVER $500,REPORTED TO OTHER AGENCY,0
CSA19-006,1/24/19,15:13,2017,UNKNOWN,FRATERNITY,RAPE,ADMIN CLOSED,0
CSA19-007,1/24/19,15:15,2018,UNKNOWN,PRIVATE APARTMENT,RAPE,ADMIN CLOSED,0
IF1900068,1/24/19,3:56,1/24/19,3:56,BUSINESS INSTRUCTIONAL FACILITY,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,35
CC1900581,1/25/19,0:00,1/25/19,4:32,COUNTY MARKET,TRESPASS TO LAND/REAL PROPERTY,REPORTED TO OTHER AGENCY,0
IF1900073,1/25/19,22:54,1/25/19,22:54,VAN DOREN RESIDENCE HALL,DRUGS,ADMIN CLOSED,34
IF1900075,1/25/19,1:15,1/25/19,1:15,HUFF HALL,LIQUOR-UNDERAGE,ADMIN CLOSED,35
II1900097,1/25/19,15:28,1/17/19,7:05,ST LOUIS,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
