incidentID,reportedAt,occuredAt,disposition,crimeTypeID
II1300002,2013-1-1 1:39:00,2013-1-1 1:39:00,ARREST,695
II1300001,2013-1-1 0:44:00,2013-1-1 0:44:00,ARREST,736
II1300003,2013-1-1 6:25:00,2013-1-1 6:25:00,ARREST,695
II1300004,2013-1-1 9:22:00,2013-1-1 2:00:00,ARREST,382
II1300006,2013-1-3 11:00:00,2012-12-20 8:00:00,ADMIN. CLOSE,763
II1300007,2013-1-3 0:43:00,2012-11-28 0:00:00,CLEARED EXCEPT. PROS.,489
2975-2012,2013-1-3 14:47:00,2012-12-22 15:30:00,STUDENT DISCIPLINE,617
2964-2012,2013-1-3 14:46:00,2012-12-18 3:10:00,STUDENT DISCIPLINE,689
2965-2012,2013-1-3 14:44:00,2002-12-19 3:10:00,STUDENT DISCIPLINE,689
2967-2012,2013-1-3 14:39:00,2012-12-20 22:35:00,STUDENT DISCIPLINE,689
2968-2012,2013-1-3 14:37:00,2012-12-21 3:00:00,STUDENT DISCIPLINE,689
CC1300070,2013-1-5 0:00:00,2012-12-23 18:25:00,REPORTED TO OTHER,302
II1300015,2013-1-6 16:49:00,2013-1-6 16:49:00,ARREST,306
II1300016,2013-1-6 22:47:00,2013-1-6 22:47:00,PENDING,643
CC1300115,2013-1-8 0:00:00,2013-1-4 16:45:00,REPORTED TO OTHER,556
II1300021,2013-1-9 2:21:00,2013-1-9 2:21:00,ADMIN. CLOSE,634
II1300024,2013-1-9 15:26:00,2013-1-9 15:26:00,ADMIN. CLOSE,831
II1300026,2013-1-10 2:32:00,2013-1-10 2:32:00,ARREST,393
II1300029,2013-1-10 11:07:00,2013-1-10 9:22:00,ADMIN. CLOSE,354
II1300030,2013-1-11 2:41:00,2013-1-11 2:41:00,ADMIN. CLOSE,329
II1300031,2013-1-11 7:11:00,2013-1-11 6:48:00,ARREST,751
CC1300186,2013-1-11 0:00:00,2013-1-8 14:00:00,REPORTED TO OTHER,604
II1300033,2013-1-12 14:11:00,2013-1-12 14:11:00,PENDING,585
II1300034,2013-1-12 16:13:00,2013-1-12 16:13:00,ADMIN. CLOSE,384
II1300035,2013-1-12 18:27:00,2013-1-12 18:27:00,ARREST,306
II1300036,2013-1-12 23:23:00,2013-1-12 23:23:00,ARREST,306
II1300039,2013-1-13 3:08:00,2013-1-13 3:08:00,ADMIN. CLOSE,381
II1300038,2013-1-13 3:26:00,2013-1-13 3:26:00,ADMIN. CLOSE,595
II1300040,2013-1-13 14:42:00,2013-1-13 14:40:00,ARREST,306
II1300041,2013-1-13 17:38:00,2013-1-13 17:38:00,ADMIN. CLOSE,329
II1300049,2013-1-14 16:00:00,2012-12-21 0:00:00,ADMIN. CLOSE,751
II1300045,2013-1-14 11:20:00,2012-11-17 0:00:00,ADMIN. CLOSE,828
II1300050,2013-1-14 20:51:00,2013-1-14 20:00:00,ADMIN. CLOSE,751
II1300051,2013-1-14 23:30:00,2013-1-14 23:30:00,ARREST,816
II1300048,2013-1-14 13:16:00,2013-1-13 18:00:00,ARREST,477
II1300044,2013-1-14 9:43:00,2013-1-11 11:30:00,ADMIN. CLOSE,751
CC1300287,2013-1-14 0:00:00,2013-1-12 2:55:00,REPORTED TO OTHER,745
100-2013,2013-1-14 9:47:00,2013-1-13 23:30:00,STUDENT DISCIPLINE,698
CC1300162,2013-1-15 0:00:00,2012-1-7 0:30:00,REPORTED TO OTHER,483
CC1300247,2013-1-15 0:00:00,2013-1-10 20:03:00,REPORTED TO OTHER,604
II1300055,2013-1-16 3:56:00,2013-1-16 3:56:00,ARREST,751
II1300058,2013-1-16 14:14:00,2012-11-1 0:00:00,ADMIN. CLOSE,751
II1300056,2013-1-16 11:18:00,2013-1-10 10:30:00,STUDENT DISCIPLINE,585
II1300060,2013-1-16 23:11:00,2013-1-16 23:11:00,PENDING,350
CC1300268,2013-1-16 0:00:00,2012-12-19 20:00:00,REPORTED TO OTHER,364
CC1300345,2013-1-16 0:00:00,2013-1-14 2:30:00,REPORTED TO OTHER,302
CC1300254,2013-1-16 0:00:00,2013-1-11 1:45:00,REPORTED TO OTHER,556
CC1300255,2013-1-16 0:00:00,2013-1-11 3:59:00,REPORTED TO OTHER,698
II1300061,2013-1-17 2:10:00,2013-1-17 2:10:00,ARREST,695
II1300120,2013-1-17 2:56:00,2013-1-17 2:30:00,STUDENT DISCIPLINE,751
CC1300386,2013-1-17 0:00:00,2013-1-15 10:06:00,REPORTED TO OTHER,604
II1300065,2013-1-18 2:10:00,2013-1-18 2:10:00,PENDING,848
II1300067,2013-1-18 23:19:00,2013-1-18 23:19:00,PENDING,850
CC1300387,2013-1-18 0:00:00,2013-1-14 18:00:00,REPORTED TO OTHER,604
CC1300361,2013-1-18 0:00:00,2013-1-13 22:00:00,REPORTED TO OTHER,302
CC1300297,2013-1-18 0:00:00,2012-12-19 15:30:00,REPORTED TO OTHER,364
CC1300415,2013-1-18 0:00:00,2013-1-16 1:45:00,REPORTED TO OTHER,604
CC1300416,2013-1-18 0:00:00,2013-1-15 21:30:00,REPORTED TO OTHER,302
CC1300435,2013-1-18 0:00:00,2013-1-15 23:00:00,REPORTED TO OTHER,313
CC1300427,2013-1-18 0:00:00,2013-1-16 10:44:00,REPORTED TO OTHER,604
CC1300368,2013-1-18 0:00:00,2012-12-20 8:00:00,REPORTED TO OTHER,364
II1300069,2013-1-19 3:24:00,2013-1-19 3:00:00,ARREST,585
II1300070,2013-1-19 8:10:00,2013-1-19 8:10:00,ARREST,335
II1300071,2013-1-19 10:51:00,2013-1-18 18:00:00,ADMIN. CLOSE,792
II1300073,2013-1-19 13:39:00,2013-1-19 2:00:00,PENDING,848
CC1300377,2013-1-19 0:00:00,2013-1-14 19:40:00,REPORTED TO OTHER,604
CSA-13-1,2013-1-19 10:56:00,2013-1-19 1:00:00,ADMIN. CLOSED,786
II1300077,2013-1-20 2:04:00,2013-1-20 2:04:00,ARREST,688
II1300079,2013-1-20 0:31:00,2013-1-20 0:31:00,ARREST,335
II1300081,2013-1-21 1:23:00,2013-1-21 1:23:00,ARREST,393
II1300084,2013-1-21 21:31:00,2013-1-21 21:15:00,ADMIN. CLOSE,329
II1300088,2013-1-22 13:45:00,2013-1-16 9:00:00,ADMIN. CLOSE,828
II1300087,2013-1-22 9:51:00,2013-1-21 21:00:00,ADMIN. CLOSE,574
II1300089,2013-1-22 16:42:00,2013-1-12 21:59:00,ADMIN. CLOSE,354
II1300091,2013-1-22 17:48:00,2013-1-19 16:00:00,ADMIN. CLOSE,343
II1300092,2013-1-22 18:52:00,2013-1-22 18:52:00,ARREST,751
II1300093,2013-1-22 23:57:00,2013-1-22 23:57:00,ADMIN. CLOSE,329
CC1300271,2013-1-22 0:00:00,2013-1-11 0:30:00,REPORTED TO OTHER,302
CC1300554,2013-1-22 0:00:00,2013-1-5 20:00:00,REPORTED TO OTHER,604
165-2013,2013-1-22 0:32:00,2013-1-16 21:33:00,STUDENT DISCIPLINE,698
179-2013,2013-1-22 13:15:00,2013-1-18 0:15:00,STUDENT DISCIPLINE,689
195-2013,2013-1-22 13:28:00,2013-1-18 11:26:00,STUDENT DISCIPLINE,689
203-2013,2013-1-22 13:55:00,2013-1-19 1:40:00,STUDENT DISCIPLINE,689
208-2013,2013-1-22 0:13:00,2013-1-18 22:28:00,STUDENT DISCIPLINE,689
209-2013,2013-1-22 0:11:00,2013-1-21 2:15:00,STUDENT DISCIPLINE,689
II1300094,2013-1-23 1:08:00,2013-1-23 1:08:00,ARREST,462
II1300096,2013-1-23 8:16:00,2013-1-23 8:16:00,ADMIN. CLOSE,743
II1300100,2013-1-23 16:52:00,2013-1-23 8:00:00,ADMIN. CLOSE,828
UU1300302,2013-1-23 0:00:00,2013-1-19 1:00:00,REPORTED TO OTHER,554
CC1300461,2013-1-23 0:00:00,2013-1-17 2:00:00,REPORTED TO OTHER,302
CC1300589,2013-1-23 0:00:00,2013-1-20 21:00:00,REPORTED TO OTHER,513
CC1300492,2013-1-23 0:00:00,2013-1-18 4:16:00,REPORTED TO OTHER,302
II1300112,2013-1-24 20:04:00,2012-1-24 20:00:00,PENDING,350
