callId,lat,lon,blockId
1,40.115336,-88.226786,1
2,40.115549,-88.224243,2
3,40.115343,-88.223932,5
4,40.114481,-88.227709,1
5,40.114481,-88.225563,4
6,40.114563,-88.224951,4
7,40.113669,-88.227215,1
8,40.113464,-88.225101,7
9,40.112849,-88.227204,1
10,40.112627,-88.225745,11
11,40.111424,-88.229845,10
12,40.111644,-88.227678,11
13,40.111513,-88.225747,11
14,40.112014,-88.223891,13
15,40.110668,-88.222571,13
16,40.109166,-88.230006,14
17,40.108895,-88.230693,17
18,40.108107,-88.23124,17
19,40.108509,-88.229094,18
20,40.108927,-88.227882,47
21,40.108829,-88.225779,47
22,40.107926,-88.224502,15
23,40.10919,-88.220253,16
24,40.108181,-88.221476,0
25,40.10718,-88.220693,0
26,40.106737,-88.230424,29
27,40.105424,-88.233407,27
28,40.10631,-88.227549,47
29,40.10544,-88.226862,47
30,40.106444,-88.225585,24
31,40.106026,-88.224836,24
32,40.105376,-88.225024,49
33,40.105371,-88.221447,32
34,40.103973,-88.241351,33
35,40.101158,-88.238701,37
36,40.097284,-88.239355,42
37,40.095909,-88.240589,42
38,40.103065,-88.234419,34
39,40.101571,-88.233614,34
40,40.1042,-88.23155,31
41,40.104085,-88.230477,35
42,40.102857,-88.230124,36
43,40.103922,-88.229145,36
44,40.100747,-88.230093,36
45,40.103176,-88.228055,36
46,40.101414,-88.227939,36
47,40.095318,-88.231928,44
48,40.096344,-88.228216,44
49,40.095745,-88.227604,44
50,40.094259,-88.22814,0
51,40.096373,-88.225778,44
52,40.102657,-88.225627,36
53,40.103125,-88.224647,36
54,40.104298,-88.223931,50
55,40.100742,-88.222953,36
56,40.103499,-88.222619,36
57,40.103581,-88.22175,0
58,40.101509,-88.221691,0
59,40.102387,-88.219363,32
60,40.101722,-88.220361,32
61,40.101361,-88.220093,32
62,40.102334,-88.220973,32
63,40.097993,-88.220855,45
64,40.092355,-88.221745,0
65,40.092298,-88.22079,0
